link,title,price,region,description
https://krisha.kz/a/show/28949002,"3-комнатная квартира, 81 м², 3/5 эт., Шалкөде 9",22000000,"Астана, Алматинский р-н","
                
                                    Автобусы:2, 11, 48, 50, 73, 56.Район нового вокзала Нұрлы жол.
                            "
https://krisha.kz/a/show/29095781,"1-комнатная квартира, 36 м², 5/5 эт., Сатпаева 4",11000000,"Астана, Алматинский р-н","
                
                                    Срочно район Евразии продаётся ул. Сатпаева полный пакет документов на руках торг уместен.
                            "
https://krisha.kz/a/show/28830415,"2-комнатная квартира, 47 м², 3/5 эт., мкр Орбита-2",17000000,"Алматы, Бостандыкский р-н","
                                    Пластиковые окна, тихий двор, неугловая, встроенная кухня.
                
                                    Полностью мебелирована, в хорошем состоянии, ухоженная, чистая, средний подьезд, двор тихий, парковка удобная (есть площадка для машин жителей), подьезд чистый, ухоженный, во дворе беседка, детская площадка, все коммуникации рядом, в квартире светло, зимой тепло, летом прохладно, напрямую солнце не падает, светло но не жарко летом, можно обойтись без кондиционеров, проветривается хорошо, двор ухоженный и тихий. Квартплата не дорогая, квартира готова к эксплуатации, сразу можно заезжать. БЕЗ ПОСРЕДНИКОВ! МЫ ХОЗЯЕВА!
                            "
https://krisha.kz/a/show/28934409,"1-комнатная квартира, 14 м², 4/4 эт., мкр №8 55",3900000,"Алматы, Ауэзовский р-н","
                                    Пластиковые окна, комнаты изолированы, встроенная кухня, счётчики, тихий двор.
                
                                    Новые пластиковые, окна радиаторы, светлая комната, два окна, без посредников.
                            "
https://krisha.kz/a/show/28874838,"1-комнатная квартира, 40 м², 2/14 эт., мкр Акбулак, Момышулы — Рыскулова",15000000,"Алматы, Алатауский р-н","
                                    Пластиковые окна, тихий двор, неугловая, улучшенная, комнаты изолированы, новая сантехника, счётчики.
                
                                    Квартира новая абсолютно, никто не жил, ремонт капитальный, строил Базис-А, напротив Алматы Арена, новый дом, ремонт делали для себя, материал качетсвенный, меняли даже входную дверь, все коммуникации рядом. Цена указана вместе с диваном, стоимость которого 600, 000 тенге. Диван абсолютно новый. СРОЧНО! в связи с переездом! МЫ ХОЗЯЕВА! БЕЗ ПОСРЕДНИКОВ!
                            "
https://krisha.kz/a/show/20783505,"2-комнатная квартира, 60 м², 1/4 эт., Чкалова 5",10500000,"Караганда, Казыбек би р-н","
                                    Кладовка, счётчики, тихий двор.
                
                                    Доброго времени суток уважаемый покупатель! 
Квартира очень хорошая, несмотря на скромный ремонт, характерные для ОБКОМовских домов высокие потолки и толщина наружных стен более 60 см делает проживание в ней очень комфортным в любое время года. Данную квартиру очень УДОБНО использовать для ведения бизнеса, так как у квартиры имеется выход как во двор, так и на проезжую часть (с балкона!). 
 
Надеюсь на успешное сотрудничество!
                            "
https://krisha.kz/a/show/29155711,"4-комнатная квартира, 127 м², 5/18 эт., Туркестан 18",54000000,"Астана, Есильский р-н","
                                    Пластиковые окна, улучшенная, комнаты изолированы, тихий двор.
                
                                    Отличный вариант ! Застройщик: BI Group. ЖК Park Avenue 3/2 располагается в одном из перспективных районов столицы. Квартира солнечная, тёплая. Только за наличные. Отличная панорама на Ботанический Сад Ключи на руках На этаже четыре квартиры. Лифт спускается в паркинг. Улучш. черновая. Услуги агентства 1%
                            "
https://krisha.kz/a/show/28295501,"4-комнатная квартира, 120 м², 6/10 эт., Сатыбалдина 11/2",25900000,"Караганда, Казыбек би р-н","
                                    Пластиковые окна, улучшенная, комнаты изолированы, кухня-студия, встроенная кухня, новая сантехника, кладовка, счётчики, тихий двор.
                
                                    Живем с 1991 года 1 хозяева квартиры, - она теплая чистая ухоженная ремонт был сделан 3 года назад вложений никаких : 2 балкона 2 санузла 2 ванной комнаты видео записи с камерой внешнего и внутреннего вида. Продаю 4 комнатную квартиру : 3+1 комнаты т. е. 2 квартиры вместе рядом на площадки -- за 3 комн -- 16 8000 000 тенге и 1 комн -- 8 800 000 тенге, -- 2 квартиры + 2 кладовки на лестничной площадки все входит в цену квартира продается вся с мебелью и домашней техникой и, ---Где можно будет квартиры продать по отдельности каждую по договорённости, - Звоните договоримся. Прошу Большую скидку не Просить так как вложений нет никаких. Варианты рассмотрим Ватсап имеется на телефоне. Заранее благодарен.
                            "
https://krisha.kz/a/show/25455285,"4-комнатная квартира, 75 м², 2/3 эт., Анжерская 7/1 — Ермекова",13500000,"Караганда, Казыбек би р-н","
                                    Пластиковые окна, неугловая, улучшенная, комнаты изолированы, новая сантехника, кладовка, счётчики, тихий двор.
                
                                    Элитный кирпичный дом! 
Введен в эксплуатацию. Имеются 2, 3, 4-х комнатные квартиры. В чистовой и черновой отделке. Дом находится в 2 минутах езды от школы и детского сада. 
 
Сәтті үй это: 
Качественая до мелких деталей работа на всех этапах строительства 
Прочный фундамент 
Самые выгодные цены на рынке Караганды 
Видеонаблюдение двора 24/7 
Парковачные места для каждой квартиры 
Сертифицированные строительные материалы 
Отдельные кладовые места в подвале 
 
Мы строимся, чтобы вы жили в уюте и тепле.
                            "
https://krisha.kz/a/show/25282789,"3-комнатная квартира, 72 м², 2/3 эт., Анжерская 7/1 — Ермекова",13500000,"Караганда, Казыбек би р-н","
                                    Пластиковые окна, улучшенная, комнаты изолированы, счётчики, тихий двор.
                
                                    Элитный кирпичный дом! 
Введен в эксплуатацию. Имеются 2, 3, 4-х комнатные квартиры. В чистовой и черновой отделке. Дом находится в 2 минутах езды от школы и детского сада. 
 
Сәтті үй это: 
Качественая до мелких деталей работа на всех этапах строительства. 
Прочный фундамент. 
Самые выгодные цены на рынке Караганды. 
Видеонаблюдение двора 24/7. 
Парковачные места для каждой квартиры. 
Сертифицированные строительные материалы. 
Отдельные кладовые места в подвале.
                            "
https://krisha.kz/a/show/28950713,"2-комнатная квартира, 46 м², 3/13 эт., проспект Достык",35800000,"Алматы, Медеуский р-н","
                                    Пластиковые окна, улучшенная, кондиционер.
                
                                    Красивая квартира с видом на Кок-Тобе. Современный ремонт, авторский дизайн. Кухня-студия. Гардеробная. Застройщик - ""Рамс"". Развитая инфраструктура - рядом ТРЦ ""Достык"", школа.
                            "
https://krisha.kz/a/show/28948727,"2-комнатная квартира, 72 м², 9/17 эт., Тәуелсіздік 34/1 — Момышұлы",23000000,"Астана, Алматинский р-н",
https://krisha.kz/a/show/28629929,"3-комнатная квартира, 59 м², 4/5 эт., мкр Аксай-2, Мкр. Аксай-2 70",17000000,"Алматы, Ауэзовский р-н","
                                    Неугловая, счётчики, тихий двор.
                
                                    Торг
                            "
